년월,전지구,안면도,료리(일본),마우나로아(미국),케이프그림(호주),
197405,,,,333.2,,
197406,,,,332.2,,
197407,,,,331.1,,
197408,,,,329.1,,
197409,,,,327.3,,
197410,,,,327.3,,
197411,,,,328.3,,
197412,,,,329.6,,
197501,,,,330.8,,
197502,,,,331.5,,
197503,,,,331.9,,
197504,,,,333.1,,
197505,,,,334.0,,
197506,,,,333.5,,
197507,,,,332.0,,
197508,,,,329.9,,
197509,,,,328.5,,
197510,,,,328.5,,
197511,,,,329.2,,
197512,,,,"-1,000.0",,
197601,,,,331.6,,
197602,,,,332.8,,
197603,,,,333.3,,
197604,,,,334.8,,
197605,,,,334.7,328.9,
197606,,,,334.2,329.0,
197607,,,,332.9,329.7,
197608,,,,330.7,330.6,
197609,,,,328.9,330.9,
197610,,,,328.7,330.9,
197611,,,,330.2,330.9,
197612,,,,331.7,330.7,
197701,,,,332.7,330.5,
197702,,,,333.2,330.5,
197703,,,,335.0,330.7,
197704,,,,336.2,330.8,
197705,,,,336.9,331.0,
197706,,,,336.2,331.5,
197707,,,,334.8,331.8,
197708,,,,332.6,332.3,
197709,,,,331.3,332.9,
197710,,,,331.3,333.0,
197711,,,,332.5,332.8,
197712,,,,333.6,332.4,
197801,,,,335.0,332.1,
197802,,,,335.3,332.2,
197803,,,,336.6,332.4,
197804,,,,337.7,332.5,
197805,,,,338.0,332.6,
197806,,,,338.0,333.0,
197807,,,,336.3,333.3,
197808,,,,334.6,333.9,
197809,,,,332.4,335.0,
197810,,,,332.4,335.3,
197811,,,,333.8,334.8,
197812,,,,335.0,334.5,
197901,,,,336.1,334.5,
197902,,,,336.7,334.6,
197903,,,,338.3,334.8,
197904,,,,338.9,334.7,
197905,,,,339.2,334.6,
197906,,,,339.3,334.9,
197907,,,,337.5,335.5,
197908,,,,335.7,335.9,
197909,,,,333.9,336.0,
197910,,,,334.3,336.0,
197911,,,,335.4,336.0,
197912,,,,336.7,335.7,
198001,,,,337.9,335.7,
198002,,,,338.4,335.8,
198003,,,,340.1,335.9,
198004,,,,341.0,336.1,
198005,,,,341.4,336.2,
198006,,,,341.4,336.5,
198007,,,,339.5,336.9,
198008,,,,337.7,337.1,
198009,,,,336.3,337.2,
