기온분석
[검색조건]
자료구분 : 년
자료형태 : 기본
지역/지점 : 서울
기간 : 1954~2021

년,지점,평균기온(℃),최저기온(℃),최고기온(℃)
1954,108,11.4,-13.9,34.3
1955,108,11.5,-17.2,35
1956,108,10.1,-15.7,35
1957,108,10.4,-17.3,33.5
1958,108,11.6,-18.2,37.2
1959,108,12,-19.8,36.2
1960,108,12.1,-17,34.4
1961,108,12.4,-16.5,35.3
1962,108,11.7,-11.5,35
1963,108,11.3,-18.4,33.7
1964,108,12.2,-16.2,34.5
1965,108,11.4,-18.2,35.2
1966,108,11.5,-18,34.7
1967,108,11.6,-18.4,35
1968,108,11.8,-15.1,34.2
1969,108,10.9,-15.9,32.9
1970,108,11.4,-20.2,35
1971,108,11.5,-16.1,33.2
1972,108,11.9,-12,35.6
1973,108,12,-17.4,35.2
1974,108,11.1,-15.5,33.9
1975,108,12.5,-11.8,35.3
1976,108,11.5,-18.5,34.8
1977,108,12.3,-16.8,35
1978,108,12.4,-16,36.1
1979,108,12.5,-13,32.6
1980,108,10.8,-16.2,31.7
1981,108,11.2,-16.5,35.2
1982,108,12.5,-14.1,35.5
1983,108,12.4,-13.9,34.3
1984,108,11.6,-15.1,35.2
1985,108,11.6,-16.7,35.4
1986,108,11.2,-19.2,32.8
1987,108,11.9,-15.1,31.6
1988,108,12.1,-12.9,36.6
1989,108,13,-11.2,35.3
1990,108,12.8,-17.1,35.5
1991,108,12.3,-15,34.7
1992,108,12.5,-9.7,32.8
1993,108,12,-11.2,31.9
1994,108,13.5,-12.6,38.4
1995,108,12.2,-11.1,33.7
1996,108,12.2,-13.8,35.4
1997,108,12.9,-13.7,36.1
1998,108,13.8,-15.4,32.8
1999,108,13.2,-12.3,35.4
2000,108,12.7,-12.1,35.1
2001,108,12.8,-18.6,35.3
2002,108,12.9,-12,34.8
2003,108,12.8,-15.5,32.2
2004,108,13.3,-16.7,36.2
2005,108,12.1,-14,35
2006,108,13,-14.1,34.7
2007,108,13.3,-8.6,33.2
2008,108,12.9,-13.1,35.4
2009,108,12.9,-12.9,34.4
2010,108,12.1,-15.3,33.8
2011,108,12,-17.8,34.1
2012,108,12.2,-17.1,36.7
2013,108,12.5,-16.4,33.9
2014,108,13.4,-13.2,35.8
2015,108,13.6,-13,36
2016,108,13.6,-18,36.6
2017,108,13,-12.6,35.4
2018,108,12.9,-17.8,39.6
2019,108,13.5,-10.9,36.8
2020,108,13.2,-12.9,35.4
2021,108,13.7,-18.6,36.5

