지점,지점명,일시,평균기온(°C),평균최저기온(°C),평균최고기온(°C)
159,부산,1905,13.9,11,17.9
159,부산,1906,13,9.5,16.8
159,부산,1907,13.5,9.8,17.6
159,부산,1908,13.3,9.7,17.2
159,부산,1909,13.4,9.7,17.8
159,부산,1910,13,9.5,16.7
159,부산,1911,13.4,10.1,17.2
159,부산,1912,13.3,9.6,17.3
159,부산,1913,12.8,8.9,17
159,부산,1914,14.2,10.8,18
159,부산,1915,13.7,10.4,17.5
159,부산,1916,13.9,10.4,17.7
159,부산,1917,12.4,8.8,16.5
159,부산,1918,12.8,9.2,17.5
159,부산,1919,13.5,9.9,18.3
159,부산,1920,13.9,10.5,18
159,부산,1921,13.3,9.8,17.3
159,부산,1922,13.9,10.3,18.2
159,부산,1923,13.4,9.8,17.7
159,부산,1924,13.3,9.4,18
159,부산,1925,13.4,9.6,18
159,부산,1926,13,9,17.9
159,부산,1927,13.4,9.6,18.4
159,부산,1928,13.5,9.8,18.5
159,부산,1929,13.8,10.1,18.6
159,부산,1930,14.2,10.7,18.5
159,부산,1931,13.6,10.1,17.9
159,부산,1932,13.7,10,18.2
159,부산,1933,13.7,10.3,17.9
159,부산,1934,12.9,9.9,17.1
159,부산,1935,13.7,10.8,17.9
159,부산,1936,12.5,9.5,16.8
159,부산,1937,14.1,11,18.4
159,부산,1938,13.6,10.5,18.2
159,부산,1939,14.1,10.9,18.9
159,부산,1940,13.8,10.2,18.4
159,부산,1941,13.8,10.4,18.5
159,부산,1942,13.8,10.3,18.6
159,부산,1943,13.8,10.4,18.7
159,부산,1944,13.7,10.2,19
159,부산,1945,13.2,9.7,18.2
159,부산,1946,14,10.6,18.7
159,부산,1947,12.6,9,17.5
159,부산,1948,14.3,10.9,18.9
159,부산,1949,13.7,10.4,18.2
159,부산,1950,14,10.7,18.5
159,부산,1951,14.1,10.9,18.5
159,부산,1952,13.6,10.5,17.8
159,부산,1953,13.9,10.8,18.1
159,부산,1954,14.1,11,18
159,부산,1955,14.1,10.9,18.3
159,부산,1956,12.8,9.6,17
159,부산,1957,13.4,10.2,17.7
159,부산,1958,14.2,10.9,18.4
159,부산,1959,14.6,11.3,18.6
159,부산,1960,14.6,11.1,18.7
159,부산,1961,14.8,11.4,18.6
159,부산,1962,14,10.4,18.1
159,부산,1963,13.2,10,17.2
159,부산,1964,14.6,11.4,18.5
159,부산,1965,13.6,10.2,18
159,부산,1966,14,10.9,18.1
159,부산,1967,14,10.8,18
159,부산,1968,13.7,10.6,17.8
159,부산,1969,13.4,10.4,17.4
159,부산,1970,13.5,10.6,17.4
159,부산,1971,13.9,10.9,17.9
159,부산,1972,14.1,11.1,17.9
159,부산,1973,14.5,11.2,18.5
159,부산,1974,13.6,10.4,17.7
159,부산,1975,14.5,11.6,18.3
159,부산,1976,13.7,10.3,17.7
159,부산,1977,14.2,10.8,18.4
159,부산,1978,14.9,11.4,19.3
159,부산,1979,14.8,11.4,18.9
159,부산,1980,13.3,9.9,17.4
159,부산,1981,13.6,10,18
159,부산,1982,14.4,10.9,18.8
159,부산,1983,14.3,10.8,18.6
159,부산,1984,13.9,10.4,18.2
159,부산,1985,14.2,10.9,18.4
159,부산,1986,13.7,10.1,18.4
159,부산,1987,14.3,10.9,18.8
159,부산,1988,14.2,10.8,18.7
159,부산,1989,14.9,11.7,19.3
159,부산,1990,15.5,12.3,19.6
159,부산,1991,14.4,11.2,18.6
159,부산,1992,14.8,11.5,18.8
159,부산,1993,14,10.7,18.2
159,부산,1994,15.6,12.2,20
159,부산,1995,14.5,11,19.1
159,부산,1996,14.5,10.9,19.1
159,부산,1997,15.2,11.7,19.8
159,부산,1998,15.8,12.8,19.7
159,부산,1999,15,11.8,19.2
159,부산,2000,14.9,11.6,19.2
159,부산,2001,15.3,12,20
159,부산,2002,14.7,11.4,18.9
159,부산,2003,14.3,11.2,18.5
159,부산,2004,14.9,11.5,19.3
159,부산,2005,13.8,10.5,18.1
159,부산,2006,14.7,11.4,18.9
159,부산,2007,15.3,12.4,19.1
159,부산,2008,15,12,18.8
159,부산,2009,15.2,12.1,19.2
159,부산,2010,14.9,11.7,19
159,부산,2011,14.6,11.3,18.8
159,부산,2012,14.5,11.3,18.6
159,부산,2013,15.3,11.8,19.5
159,부산,2014,15.1,12,19.2
159,부산,2015,15.4,12.2,19.5
159,부산,2016,15.7,12.5,19.8
159,부산,2017,15.2,11.7,19.6
159,부산,2018,15.1,11.8,19.2
159,부산,2019,15.7,12.5,19.8
159,부산,2020,15.2,11.9,19.4
159,부산,2021,15.7,12.4,19.9
